layer,method,auc,aoc
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv3.block.conv,activation,0.6886247698836616,0.6823894230410876
instance_perturbation_module.backbone.ERBlock_6.2.cspsppf.cv3.block.conv,random,0.4404384674492088,0.6485178095110187
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_dense.conv,GradCAM,0.46282306621502767,0.5402217233846419
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_dense.conv,Gradient,0.5002190972965896,0.5400465035957518
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_dense.conv,LRP-eps,0.3327252188770101,0.5018037822465371
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_dense.conv,LRP-gamma,0.08654396879843931,0.07262666601889826
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_dense.conv,LRP-zplus,0.8695190356078919,0.678716735447343
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_dense.conv,activation,0.8499035218801405,0.6529884304252892
instance_perturbation_module.backbone.ERBlock_6.1.block.0.rbr_dense.conv,random,0.5450746824947951,0.5217927592478379
instance_perturbation_module.detect.cls_convs.2.block.conv,GradCAM,0.0,1.0
instance_perturbation_module.detect.cls_convs.2.block.conv,Gradient,0.0,1.0
instance_perturbation_module.detect.cls_convs.2.block.conv,LRP-eps,0.0,1.0
instance_perturbation_module.detect.cls_convs.2.block.conv,LRP-gamma,0.0,1.0
instance_perturbation_module.detect.cls_convs.2.block.conv,LRP-zplus,0.0,1.0
instance_perturbation_module.detect.cls_convs.2.block.conv,activation,0.0,1.0
instance_perturbation_module.detect.cls_convs.2.block.conv,random,0.0,1.0
instance_perturbation_module.neck.Rep_p3.block.0.rbr_dense.conv,GradCAM,0.6500163135478875,0.6519806829081201
instance_perturbation_module.neck.Rep_p3.block.0.rbr_dense.conv,Gradient,0.6722828155150218,0.657316411795799
instance_perturbation_module.neck.Rep_p3.block.0.rbr_dense.conv,LRP-eps,0.6100851685800415,0.5865469781121374
instance_perturbation_module.neck.Rep_p3.block.0.rbr_dense.conv,LRP-gamma,0.5709282135934738,0.6037503613303494
instance_perturbation_module.neck.Rep_p3.block.0.rbr_dense.conv,LRP-zplus,0.6747807791346208,0.7367366228909754
instance_perturbation_module.neck.Rep_p3.block.0.rbr_dense.conv,activation,0.32724309458190903,0.48711070360565656
instance_perturbation_module.neck.Rep_p3.block.0.rbr_dense.conv,random,0.38116417724575113,0.5836236228566185
instance_perturbation_module.neck.Rep_n5.block.1.rbr_dense.conv,GradCAM,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.1.rbr_dense.conv,Gradient,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.1.rbr_dense.conv,LRP-eps,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.1.rbr_dense.conv,LRP-gamma,0.0,1.0
